ID,Image Filename,Defect Percent,Score Max,Reject,Hlimit,,,,,,,,,,,,,,,,
0_1,S5K4AC_GA_DB08_2419343901_0202_004_024_001_POST_BVI_DiePlacement_20240817174953.jpg,0.00,202,FALSE,200,,,,,,,,,,,,,,,,
1_1,S5K4AC_GA_DB08_2419343901_0202_003_025_001_POST_BVI_DiePlacement_20240817175046.jpg,0.04,204,FALSE,200,,,,,,,,,,,,,,,,
2_1,S5K4AC_GA_DB08_24232802B1_2508_006_004_001_POST_BVI_DiePlacement_20240816063342.jpg,12.6,203,TRUE,100,,,,,,,,,,,,,,,,
3_1,S5K4AC_GA_DB08_2419343901_0202_007_005_001_POST_BVI_DiePlacement_20240817174430.jpg,1.92,188,TRUE,100,,,,,,,,,,,,,,,,
4_1,S5K4AC_GA_DB08_2419343901_0106_001_024_001_POST_BVI_DiePlacement_20240815032029.jpg,7.99,186,TRUE,100,,,,,,,,,,,,,,,,
5_1,S5K4AC_GA_DB08_24232802B1_2508_003_023_001_POST_BVI_DiePlacement_20240816064128.jpg,9.97,201,TRUE,100,,,,,,,,,,,,,,,,
6_1,S5K4AC_GA_DB08_2419343901_0202_006_012_001_POST_BVI_DiePlacement_20240817174629.jpg,20.88,199,TRUE,100,,,,,,,,,,,,,,,,
7_1,S5K4AC_GA_DB08_2419343901_NG4.jpg,15.31,180,TRUE,100,,,,,,,,,,,,,,,,
8_1,S5K4AC_GA_DB08_2419343901_0106_008_001_001_POST_BVI_DiePlacement_20240815031113.jpg,8.26,180,TRUE,100,,,,,,,,,,,,,,,,
9_1,S5K4AC_GA_DB08_24232802B1_2508_006_001_001_POST_BVI_DiePlacement_20240816063251.jpg,12.21,184,TRUE,100,,,,,,,,,,,,,,,,
10_1,S5K4AC_GA_DB08_2419343901_0202_001_024_001_POST_BVI_DiePlacement_20240817174947.jpg,0,192,FALSE,200,,,,,,,,,,,,,,,,
11_1,S5K4AC_GA_DB08_2419343901_0106_001_001_001_POST_BVI_DiePlacement_20240815031058.jpg,0,179,FALSE,200,,,,,,,,,,,,,,,,
12_1,S5K4AC_GA_DB08_24232802B1_2808_001_001_001_POST_BVI_DiePlacement_20240816050936.jpg,0,187,FALSE,200,,,,,,,,,,,,,,,,
13_1,S5K4AC_GA_DB08_2419344101_0103_001_002_001_POST_BVI_DiePlacement_20240816031110.jpg,0,195,FALSE,200,,,,,,,,,,,,,,,,
14_1,S5K4AC_GA_DB08_2419343901_0106_007_014_001_POST_BVI_DiePlacement_20240815031742.jpg,0,189,FALSE,200,,,,,,,,,,,,,,,,
15_1,S5K4AC_GA_DB08_2419343901_NG1.jpg,0,188,FALSE,200,,,,,,,,,,,,,,,,
16_1,S5K4AC_GA_DB08_2419343901_0202_001_023_001_POST_BVI_DiePlacement_20240817174925.jpg,0,197,FALSE,200,,,,,,,,,,,,,,,,
17_1,S5K4AC_GA_DB08_2419343901_0106_007_001_001_POST_BVI_DiePlacement_20240815031111.jpg,0,179,FALSE,200,,,,,,,,,,,,,,,,
18_1,S5K4AC_GA_DB08_2419343901_NG5.jpg,7.35,196,TRUE,100,,,,,,,,,,,,,,,,
19_1,S5K4AC_GA_DB08_2419343901_NG3.jpg,11.92,206,TRUE,100,,,,,,,,,,,,,,,,
20_1,S5K4AC_GA_DB08_2419343901_NG2.jpg,13.79,198,TRUE,100,,,,,,,,,,,,,,,,
21_1,S5K4AC_GA_DB08_2419343901_0202_004_025_001_POST_BVI_DiePlacement_20240817175048.jpg,12.87,199,TRUE,100,,,,,,,,,,,,,,,,
0_1,S5K4AC_GA_DB08_2419343901_0202_004_024_001_POST_BVI_DiePlacement_20240817174953.jpg,1.49,202,TRUE,170,,,,,,,,,,,,,,,,
1_1,S5K4AC_GA_DB08_2419343901_0202_003_025_001_POST_BVI_DiePlacement_20240817175046.jpg,0.71,204,TRUE,170,,,,,,,,,,,,,,,,
2_1,S5K4AC_GA_DB08_24232802B1_2508_006_004_001_POST_BVI_DiePlacement_20240816063342.jpg,5.78,203,TRUE,130,,,,,,,,,,,,,,,,
3_1,S5K4AC_GA_DB08_2419343901_0202_007_005_001_POST_BVI_DiePlacement_20240817174430.jpg,0.7,188,TRUE,130,,,,,,,,,,,,,,,,
4_1,S5K4AC_GA_DB08_2419343901_0106_001_024_001_POST_BVI_DiePlacement_20240815032029.jpg,2.24,186,TRUE,130,,,,,,,,,,,,,,,,
5_1,S5K4AC_GA_DB08_24232802B1_2508_003_023_001_POST_BVI_DiePlacement_20240816064128.jpg,4.16,201,TRUE,130,,,,,,,,,,,,,,,,
6_1,S5K4AC_GA_DB08_2419343901_0202_006_012_001_POST_BVI_DiePlacement_20240817174629.jpg,8.88,199,TRUE,130,,,,,,,,,,,,,,,,
7_1,S5K4AC_GA_DB08_2419343901_NG4.jpg,6.11,180,TRUE,130,,,,,,,,,,,,,,,,
8_1,S5K4AC_GA_DB08_2419343901_0106_008_001_001_POST_BVI_DiePlacement_20240815031113.jpg,1.94,180,TRUE,130,,,,,,,,,,,,,,,,
9_1,S5K4AC_GA_DB08_24232802B1_2508_006_001_001_POST_BVI_DiePlacement_20240816063251.jpg,3.32,184,TRUE,130,,,,,,,,,,,,,,,,
10_1,S5K4AC_GA_DB08_2419343901_0202_001_024_001_POST_BVI_DiePlacement_20240817174947.jpg,0.71,192,TRUE,170,,,,,,,,,,,,,,,,
11_1,S5K4AC_GA_DB08_2419343901_0106_001_001_001_POST_BVI_DiePlacement_20240815031058.jpg,0.04,179,FALSE,170,,,,,,,,,,,,,,,,
12_1,S5K4AC_GA_DB08_24232802B1_2808_001_001_001_POST_BVI_DiePlacement_20240816050936.jpg,0.9,187,TRUE,170,,,,,,,,,,,,,,,,
13_1,S5K4AC_GA_DB08_2419344101_0103_001_002_001_POST_BVI_DiePlacement_20240816031110.jpg,1.25,195,TRUE,170,,,,,,,,,,,,,,,,
14_1,S5K4AC_GA_DB08_2419343901_0106_007_014_001_POST_BVI_DiePlacement_20240815031742.jpg,0.41,189,FALSE,170,,,,,,,,,,,,,,,,
15_1,S5K4AC_GA_DB08_2419343901_NG1.jpg,0.45,188,FALSE,170,,,,,,,,,,,,,,,,
16_1,S5K4AC_GA_DB08_2419343901_0202_001_023_001_POST_BVI_DiePlacement_20240817174925.jpg,1.45,197,TRUE,170,,,,,,,,,,,,,,,,
17_1,S5K4AC_GA_DB08_2419343901_0106_007_001_001_POST_BVI_DiePlacement_20240815031111.jpg,0.19,179,FALSE,170,,,,,,,,,,,,,,,,
18_1,S5K4AC_GA_DB08_2419343901_NG5.jpg,2.87,196,TRUE,130,,,,,,,,,,,,,,,,
19_1,S5K4AC_GA_DB08_2419343901_NG3.jpg,2.17,206,TRUE,130,,,,,,,,,,,,,,,,
20_1,S5K4AC_GA_DB08_2419343901_NG2.jpg,5.98,198,TRUE,130,,,,,,,,,,,,,,,,
21_1,S5K4AC_GA_DB08_2419343901_0202_004_025_001_POST_BVI_DiePlacement_20240817175048.jpg,7.05,199,TRUE,130,,,,,,,,,,,,,,,,
0_1,S5K4AC_GA_DB08_2419343901_0202_004_024_001_POST_BVI_DiePlacement_20240817174953.jpg,4.50,202,TRUE,150,,,,,,,,,,,,,,,,
1_1,S5K4AC_GA_DB08_2419343901_0202_003_025_001_POST_BVI_DiePlacement_20240817175046.jpg,2.92,204,TRUE,150,,,,,,,,,,,,,,,,
2_1,S5K4AC_GA_DB08_24232802B1_2508_006_004_001_POST_BVI_DiePlacement_20240816063342.jpg,3.05,203,TRUE,150,,,,,,,,,,,,,,,,
3_1,S5K4AC_GA_DB08_2419343901_0202_007_005_001_POST_BVI_DiePlacement_20240817174430.jpg,0.43,188,FALSE,150,,,,,,,,,,,,,,,,
4_1,S5K4AC_GA_DB08_2419343901_0106_001_024_001_POST_BVI_DiePlacement_20240815032029.jpg,1.27,186,TRUE,150,,,,,,,,,,,,,,,,
5_1,S5K4AC_GA_DB08_24232802B1_2508_003_023_001_POST_BVI_DiePlacement_20240816064128.jpg,2.61,201,TRUE,150,,,,,,,,,,,,,,,,
6_1,S5K4AC_GA_DB08_2419343901_0202_006_012_001_POST_BVI_DiePlacement_20240817174629.jpg,4.7,199,TRUE,150,,,,,,,,,,,,,,,,
7_1,S5K4AC_GA_DB08_2419343901_NG4.jpg,2.84,180,TRUE,150,,,,,,,,,,,,,,,,
8_1,S5K4AC_GA_DB08_2419343901_0106_008_001_001_POST_BVI_DiePlacement_20240815031113.jpg,0.86,180,TRUE,150,,,,,,,,,,,,,,,,
9_1,S5K4AC_GA_DB08_24232802B1_2508_006_001_001_POST_BVI_DiePlacement_20240816063251.jpg,1.07,184,TRUE,150,,,,,,,,,,,,,,,,
10_1,S5K4AC_GA_DB08_2419343901_0202_001_024_001_POST_BVI_DiePlacement_20240817174947.jpg,3.61,192,TRUE,150,,,,,,,,,,,,,,,,
